ticker,companyname,transcriptid,keydevid,headline,call_date,total_sentences,ai_sentence_count,ai_intensity,hype_period
ABBV,AbbVie Inc.,3363828.0,1914850569.0,"AbbVie Inc., Q4 2024 Earnings Call, Jan 31, 2025",2025-01-31,676,0,0.0,2024–2025 AI Adoption Period
ABBV,AbbVie Inc.,3425808.0,1936995409.0,"AbbVie Inc., Q1 2025 Earnings Call, Apr 25, 2025",2025-04-25,705,1,0.001418439716312,2024–2025 AI Adoption Period
ABBV,AbbVie Inc.,3510430.0,1951277610.0,"AbbVie Inc., Q2 2025 Earnings Call, Jul 31, 2025",2025-07-31,558,1,0.0017921146953405,2024–2025 AI Adoption Period
ABBV,AbbVie Inc.,3633068.0,1962908355.0,"AbbVie Inc., Q3 2025 Earnings Call, Oct 31, 2025",2025-10-31,702,0,0.0,2024–2025 AI Adoption Period
ACN,Accenture plc,2239525.0,706143483.0,"Accenture plc, Q2 2021 Earnings Call, Mar 18, 2021",2021-03-18,441,6,0.0136054421768707,2021–2022 Pre-ChatGPT Transition
ACN,Accenture plc,2326904.0,717765008.0,"Accenture plc, Q3 2021 Earnings Call, Jun 24, 2021",2021-06-24,420,3,0.0071428571428571,2021–2022 Pre-ChatGPT Transition
ACN,Accenture plc,2400506.0,1680493454.0,"Accenture plc, Q4 2021 Earnings Call, Sep 23, 2021",2021-09-23,488,2,0.0040983606557377,2021–2022 Pre-ChatGPT Transition
ACN,Accenture plc,2464407.0,1682807451.0,"Accenture plc, Q1 2022 Earnings Call, Dec 16, 2021",2021-12-16,445,5,0.0112359550561797,2021–2022 Pre-ChatGPT Transition
ACN,Accenture plc,3001973.0,1761704527.0,"Accenture plc, Q2 2022 Earnings Call, Mar 17, 2022",2022-03-17,531,3,0.0056497175141242,2021–2022 Pre-ChatGPT Transition
ACN,Accenture plc,2592286.0,1774828822.0,"Accenture plc, Q3 2022 Earnings Call, Jun 23, 2022",2022-06-23,485,10,0.0206185567010309,2021–2022 Pre-ChatGPT Transition
ACN,Accenture plc,2650368.0,1787866044.0,"Accenture plc, Q4 2022 Earnings Call, Sep 22, 2022",2022-09-22,484,4,0.0082644628099173,2021–2022 Pre-ChatGPT Transition
ACN,Accenture plc,2711099.0,1801459522.0,"Accenture plc, Q1 2023 Earnings Call, Dec 16, 2022",2022-12-16,470,9,0.0191489361702127,2023 Initial GenAI Surge
ACN,Accenture plc,2771767.0,1818843810.0,"Accenture plc, Q2 2023 Earnings Call, Mar 23, 2023",2023-03-23,477,19,0.0398322851153039,2023 Initial GenAI Surge
ACN,Accenture plc,2841841.0,1830461457.0,"Accenture plc, Q3 2023 Earnings Call, Jun 22, 2023",2023-06-22,511,71,0.1389432485322896,2023 Initial GenAI Surge
ACN,Accenture plc,2913088.0,1845051786.0,"Accenture plc, Q4 2023 Earnings Call, Sep 28, 2023",2023-09-28,526,39,0.0741444866920152,2023 Initial GenAI Surge
